area_type,availability,location,society,total_sqft,bath,balcony,price,Month_of_Availability
Super built-up  Area,Ready To Move,Vijaya Bank Layout,Not in society,2400.0,2,1,150.0,0
Super built-up  Area,Ready To Move,Hosur Road,In society,460.0,1,1,21.0,0
Super built-up  Area,Ready To Move,Narayanappa Layout,Not in society,950.0,5,2,90.0,0
Super built-up  Area,Ready To Move,Whitefield,In society,1285.0,2,2,55.9,0
Super built-up  Area,Ready To Move,1Hanuman Nagar,Not in society,2000.0,16,2,490.0,0
Plot  Area,Ready To Move,Sarjapur,In society,1200.0,3,2,78.0,0
Built-up  Area,Ready To Move,Raghuvanahalli,In society,1070.0,2,1,35.0,0
Super built-up  Area,Ready To Move,Hegde Nagar,In society,1801.0,3,2,140.0,0
Super built-up  Area,Not Ready To Move,Whitefield,In society,1697.0,3,2,115.0,12
Super built-up  Area,Ready To Move,AECS Layout,In society,1199.0,2,2,65.0,0
Super built-up  Area,Ready To Move,Iblur Village,In society,2300.0,3,1,220.0,0
Super built-up  Area,Ready To Move,Mysore Road,Not in society,1340.0,2,3,64.31,0
Super built-up  Area,Ready To Move,Marathahalli,In society,3800.0,4,3,205.0,0
Plot  Area,Ready To Move,Jigani,Not in society,600.0,5,2,50.0,0
Super built-up  Area,Ready To Move,Wilson Garden,In society,1125.0,2,1,75.0,0
Plot  Area,Ready To Move,Anandapura,Not in society,1200.0,2,1,67.0,0
Built-up  Area,Ready To Move,Subramanyapura,In society,1050.0,2,3,41.0,0
Built-up  Area,Ready To Move,Nagarbhavi,In society,956.0,2,1,49.0,0
Super built-up  Area,Ready To Move,Sarjapur,In society,1000.0,2,2,30.0,0
Built-up  Area,Ready To Move,Dooravani Nagar,In society,1596.0,3,0,95.0,0
Plot  Area,Ready To Move,Kumbhena Agrahara,Not in society,1200.0,5,1,150.0,0
Super built-up  Area,Not Ready To Move,Kanakpura Road,In society,1296.0,2,3,89.06,7
Plot  Area,Ready To Move,NS Palya,Not in society,1200.0,7,2,170.0,0
Built-up  Area,Ready To Move,Challaghatta,In society,1639.0,3,3,123.0,0
Super built-up  Area,Ready To Move,Electronic City Phase II,In society,1219.0,2,1,61.25,0
Built-up  Area,Ready To Move,Uttarahalli,Not in society,1200.0,3,1,50.0,0
Super built-up  Area,Ready To Move,Bannerghatta Road,Not in society,1218.0,2,1,73.0,0
Super built-up  Area,Ready To Move,Nyanappana Halli,Not in society,920.0,2,3,37.0,0
Super built-up  Area,Ready To Move,Yeshwanthpur,In society,2559.0,3,2,141.0,0
Super built-up  Area,Not Ready To Move,2nd Phase Judicial Layout,Not in society,525.0,1,1,26.0,12
Super built-up  Area,Not Ready To Move,Bannerghatta Road,In society,1427.0,2,2,48.51,2
Super built-up  Area,Not Ready To Move,Kothannur,Not in society,1270.0,3,2,45.0,4
Built-up  Area,Ready To Move,Ramagondanahalli,In society,920.0,2,3,65.0,0
Built-up  Area,Ready To Move,Dommasandra,Not in society,2700.0,3,2,68.0,0
Super built-up  Area,Ready To Move,Indira Nagar 3rd Stage,Not in society,1740.0,3,2,199.0,0
Built-up  Area,Ready To Move,Ramamurthy Nagar,Not in society,1355.0,2,2,40.0,0
Super built-up  Area,Ready To Move,Lingadheeranahalli,In society,1530.0,2,2,90.0,0
Carpet  Area,Ready To Move,Gokula Extension,Not in society,1372.0,2,1,90.0,0
Super built-up  Area,Ready To Move,Nehru Nagar,In society,2363.0,5,2,120.0,0
Super built-up  Area,Ready To Move,Marathahalli,In society,3895.0,4,3,220.0,0
Super built-up  Area,Not Ready To Move,Jakkur,In society,1950.0,3,2,131.0,6
Built-up  Area,Ready To Move,Hoysalanagar,In society,885.0,2,3,40.0,0
Built-up  Area,Ready To Move,Yelahanka,Not in society,600.0,2,2,27.0,0
Plot  Area,Ready To Move,Kumaraswami Layout,Not in society,1270.0,4,1,128.0,0
Plot  Area,Ready To Move,Vijayanagar,Not in society,1380.0,2,0,225.0,0
Super built-up  Area,Ready To Move,Kanakpura Road,In society,1339.0,2,2,62.0,0
Super built-up  Area,Ready To Move,Whitefield,In society,1130.0,2,1,36.0,0
Built-up  Area,Ready To Move,Uttarahalli,Not in society,1085.0,2,2,43.0,0
Built-up  Area,Ready To Move,Yeshwanthpur,In society,1430.0,3,2,72.0,0
Carpet  Area,Not Ready To Move,Bhoganhalli,In society,728.0,4,1,121.0,12
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,In society,6200.0,5,2,720.0,0
Super built-up  Area,Ready To Move,AGS Layout,Not in society,1490.0,2,1,59.6,0
Built-up  Area,Ready To Move,Vishwanatha Nagenahalli,Not in society,1650.0,4,0,99.0,0
Super built-up  Area,Ready To Move,Bellandur,Not in society,1286.0,2,2,57.0,0
Built-up  Area,Ready To Move,KR Garden,In society,925.0,2,2,63.0,0
Super built-up  Area,Ready To Move,Bellandur,In society,3016.0,4,3,230.0,0
Built-up  Area,Ready To Move,Haralur Road,Not in society,1000.0,2,2,44.0,0
Super built-up  Area,Ready To Move,Whitefield,In society,1215.0,2,2,39.0,0
Plot  Area,Ready To Move,Kanakadasa Layout,Not in society,1200.0,3,1,95.0,0
Super built-up  Area,Ready To Move,Lakshminarayana Pura,In society,1336.0,2,2,100.0,0
Super built-up  Area,Ready To Move,Yeshwanthpur,In society,673.0,1,1,36.85,0
Plot  Area,Ready To Move,Anandapura,Not in society,1200.0,2,1,58.0,0
Plot  Area,Ready To Move,Lingarajapuram,Not in society,600.0,7,2,63.0,0
Super built-up  Area,Ready To Move,Malleshwaram,Not in society,1600.0,3,3,160.0,0
Plot  Area,Ready To Move,Mallathahalli,Not in society,1200.0,2,0,79.0,0
Plot  Area,Ready To Move,Indira Nagar,Not in society,2480.0,4,1,750.0,0
Super built-up  Area,Not Ready To Move,Jayamahal Extension,Not in society,2500.0,3,2,270.0,4
Plot  Area,Ready To Move,Devanahalli,Not in society,2400.0,5,3,100.0,0
Super built-up  Area,Ready To Move,Sector 2 HSR Layout,Not in society,1143.0,2,2,65.0,0
Super built-up  Area,Ready To Move,Kanakpura Road,In society,1470.0,2,2,61.74,0
Plot  Area,Ready To Move,Laxminarayana Layout,Not in society,1584.0,3,2,145.0,0
Super built-up  Area,Ready To Move,Marathahalli,In society,1785.0,3,2,94.0,0
Super built-up  Area,Ready To Move,Koramangala,Not in society,2292.0,3,2,286.0,0
Super built-up  Area,Ready To Move,Kothanur,Not in society,1460.0,3,3,71.0,0
Super built-up  Area,Ready To Move,Kasturi Nagar,Not in society,1500.0,2,3,80.0,0
Plot  Area,Ready To Move,Yelahanka,Not in society,1200.0,4,1,140.0,0
Built-up  Area,Ready To Move,Sanjay nagar,Not in society,3300.0,3,2,250.0,0
Super built-up  Area,Ready To Move,Chikkalasandra,Not in society,1230.0,2,2,48.0,0
Super built-up  Area,Ready To Move,Yelahanka New Town,In society,650.0,1,1,20.0,0
Super built-up  Area,Ready To Move,Benson Town,Not in society,1480.0,2,2,120.0,0
Super built-up  Area,Ready To Move,Thanisandra,In society,1220.0,2,1,43.92,0
Super built-up  Area,Ready To Move,Dooravani Nagar,In society,1570.0,3,1,115.0,0
Built-up  Area,Ready To Move,Sadashiva Nagar,Not in society,3000.0,3,3,400.0,0
Super built-up  Area,Ready To Move,Mallasandra,In society,1665.0,3,2,86.91,0
Plot  Area,Ready To Move,Banagiri Nagar,Not in society,1350.0,3,1,380.0,0
Plot  Area,Ready To Move,Sarjapur  Road,In society,4000.0,5,2,600.0,0
Plot  Area,Ready To Move,Ramamurthy Nagar,Not in society,1100.0,2,0,68.0,0
Super built-up  Area,Ready To Move,Kathriguppe,In society,1350.0,2,1,87.01,0
Built-up  Area,Ready To Move,Kasavanhalli,In society,1719.0,3,2,116.0,0
Super built-up  Area,Ready To Move,Budigere,In society,664.0,1,1,35.0,0
Super built-up  Area,Not Ready To Move,Sonnenahalli,In society,1011.0,2,1,50.53,12
Built-up  Area,Ready To Move,Akshya Nagar,Not in society,2400.0,6,0,130.0,0
Super built-up  Area,Ready To Move,Basaveshwara Nagar Yelahanka,Not in society,1680.0,3,2,85.0,0
Super built-up  Area,Ready To Move,Yeshwanthpur,In society,717.0,2,0,49.475,0
Plot  Area,Ready To Move,Thyagaraja Nagar,Not in society,700.0,4,2,110.0,0
Super built-up  Area,Ready To Move,Whitefield,In society,1520.0,2,2,150.0,0
Carpet  Area,Ready To Move,Uttarahalli,In society,1350.0,2,2,53.0,0
Super built-up  Area,Not Ready To Move,Kothanur,In society,1760.0,3,2,150.0,11
Super built-up  Area,Ready To Move,Pattandur Agrahara,In society,875.0,2,1,33.0,0
Super built-up  Area,Ready To Move,Hennur,In society,1231.0,2,2,48.0,0
Super built-up  Area,Ready To Move,Somasundara Palya,In society,1174.0,2,3,74.0,0
Built-up  Area,Ready To Move,Munnekollal,In society,1560.0,3,3,75.0,0
Super built-up  Area,Ready To Move,HOSUR MAIN ROAD,Not in society,1464.0,2,2,56.0,0
Plot  Area,Ready To Move,Kanakpura Road,Not in society,2200.0,3,2,130.0,0
Built-up  Area,Ready To Move,Shivaji Nagar,Not in society,850.0,2,2,55.0,0
Built-up  Area,Ready To Move,Sahyadri Layout,In society,1750.0,3,1,180.0,0
Super built-up  Area,Ready To Move,1st Phase JP Nagar,In society,2024.0,3,2,157.0,0
Plot  Area,Ready To Move,Mathikere SBM colony,Not in society,1500.0,1,0,160.0,0
Plot  Area,Ready To Move,"white field,kadugodi",Not in society,2100.0,6,2,275.0,0
Super built-up  Area,Ready To Move,Kodihalli,In society,2408.0,4,2,260.0,0
Super built-up  Area,Ready To Move,Devanahalli,In society,1080.0,2,1,44.0,0
Super built-up  Area,Ready To Move,Indira Nagar,Not in society,2070.0,3,2,225.0,0
Built-up  Area,Not Ready To Move,Electronic City,Not in society,1020.0,2,1,29.46,12
Super built-up  Area,Ready To Move,Begur Road,In society,1500.0,2,3,55.0,0
Plot  Area,Ready To Move,Mahalakshmi Layout,Not in society,1575.0,5,1,158.0,0
Plot  Area,Ready To Move,Kodichikkanahalli,Not in society,3250.0,4,1,180.0,0
Super built-up  Area,Ready To Move,Uttarahalli,Not in society,1175.0,2,1,47.0,0
Super built-up  Area,Ready To Move,Channasandra,In society,1030.0,2,1,34.5,0
Super built-up  Area,Not Ready To Move,Hebbal,In society,1440.0,2,1,115.0,7
Built-up  Area,Ready To Move,Hoodi,In society,1500.0,2,1,84.0,0
Plot  Area,Ready To Move,Thanisandra,Not in society,1380.0,1,1,62.1,0
Built-up  Area,Ready To Move,Bagalur,In society,1200.0,2,3,50.0,0
Built-up  Area,Ready To Move,Vinayak Nagar,Not in society,705.0,1,2,36.5,0
Super built-up  Area,Ready To Move,Harlur,In society,2240.0,5,2,155.0,0
Super built-up  Area,Ready To Move,Hegde Nagar,In society,792.5,3,1,103.0,0
Super built-up  Area,Ready To Move,P Krishnappa Layout,In society,1340.0,3,3,77.0,0
Super built-up  Area,Ready To Move,Green Garden Layout,In society,1800.0,3,2,70.0,0
Super built-up  Area,Ready To Move,R.T. Nagar,Not in society,1200.0,2,3,45.0,0
Super built-up  Area,Not Ready To Move,Sarjapur  Road,In society,685.0,1,1,40.0,11
Super built-up  Area,Ready To Move,Kalkere,In society,925.0,2,3,42.0,0
Super built-up  Area,Ready To Move,Crimson Layout,In society,1230.0,2,2,57.0,0
Plot  Area,Ready To Move,Manjunath Nagar,Not in society,1200.0,5,1,185.0,0
Super built-up  Area,Ready To Move,Kodichikkanahalli,In society,1125.0,2,1,52.0,0
Super built-up  Area,Ready To Move,Hebbal,Not in society,1100.0,2,1,54.0,0
Plot  Area,Not Ready To Move,Jigani,In society,2400.0,3,2,149.0,8
Super built-up  Area,Not Ready To Move,Electronic City Phase II,In society,1400.0,2,2,41.58,7
Plot  Area,Ready To Move,Uttarahalli,Not in society,1200.0,7,2,225.0,0
Super built-up  Area,Ready To Move,Jakkur,In society,1858.0,3,1,98.3,0
Plot  Area,Ready To Move,Adityanagar,Not in society,1260.0,1,1,41.0,0
Built-up  Area,Ready To Move,Ambedkar Nagar,In society,3530.0,4,2,290.0,0
Super built-up  Area,Ready To Move,HSR Layout,Not in society,1185.0,2,2,60.0,0
Plot  Area,Ready To Move,RMV 2nd Stage,Not in society,1200.0,2,1,216.0,0
Super built-up  Area,Ready To Move,Hennur,Not in society,1255.0,2,1,58.0,0
Super built-up  Area,Ready To Move,Rajaji Nagar,Not in society,3436.0,6,3,475.0,0
Built-up  Area,Ready To Move,Kudlu Gate,In society,1335.0,3,2,89.0,0
Super built-up  Area,Ready To Move,Dodda Nekkundi,Not in society,1999.0,3,2,132.0,0
Plot  Area,Ready To Move,Kanaka Nagar,Not in society,1200.0,2,1,125.0,0
Super built-up  Area,Ready To Move,Kundalahalli,In society,1397.0,3,2,110.0,0
Plot  Area,Ready To Move,Jigani,In society,1200.0,10,2,105.0,0
Super built-up  Area,Ready To Move,Cooke Town,Not in society,3950.0,4,2,450.0,0
Plot  Area,Ready To Move,Yelahanka New Town,In society,1200.0,2,1,130.0,0
Plot  Area,Ready To Move,Chikka Tirupathi,Not in society,1616.0,3,0,95.0,0
Plot  Area,Ready To Move,Banashankari Stage III,Not in society,1200.0,7,2,350.0,0
Built-up  Area,Ready To Move,Hanumantha Nagar,Not in society,1270.0,2,1,175.0,0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,In society,1140.0,2,2,38.55,0
Super built-up  Area,Not Ready To Move,Kanakpura Road,In society,525.0,1,1,30.0,1
Plot  Area,Ready To Move,Varthur,Not in society,1200.0,2,1,98.0,0
Built-up  Area,Ready To Move,Bagalakunte,Not in society,700.0,1,1,162.0,0
Super built-up  Area,Not Ready To Move,Balagere,In society,626.0,2,1,81.0,7
Plot  Area,Ready To Move,T Dasarahalli,Not in society,1200.0,3,2,130.0,0
Super built-up  Area,Ready To Move,Electronic City,In society,1700.0,3,2,75.0,0
Plot  Area,Ready To Move,Thanisandra,Not in society,750.0,4,0,62.0,0
Super built-up  Area,Not Ready To Move,Kanakpura Road,In society,1090.0,2,1,54.54,5
Super built-up  Area,Ready To Move,Yeshwanthpur,In society,3600.0,5,2,220.0,0
Built-up  Area,Ready To Move,Kundalahalli,Not in society,2400.0,1,0,650.0,0
Super built-up  Area,Not Ready To Move,Thanisandra,In society,923.0,1,1,60.84,3
Super built-up  Area,Not Ready To Move,Muthurayya Swamy Layout,In society,3595.0,6,2,360.0,5
Super built-up  Area,Ready To Move,Green Glen Layout,In society,1050.0,2,2,48.0,0
Super built-up  Area,Ready To Move,Whitefield,In society,1495.0,2,2,79.5,0
Super built-up  Area,Not Ready To Move,Hennur Road,In society,1664.0,2,2,93.865,3
Built-up  Area,Ready To Move,Narayanapura,Not in society,1485.0,3,2,85.0,0
Super built-up  Area,Not Ready To Move,Dommasandra,Not in society,1033.0,2,2,31.5,12
Super built-up  Area,Ready To Move,Electronic City,In society,1400.0,2,1,48.0,0
Built-up  Area,Ready To Move,Indira Nagar,Not in society,500.0,1,0,70.0,0
Super built-up  Area,Ready To Move,Sarjapur  Road,In society,944.0,2,1,35.0,0
Built-up  Area,Ready To Move,Whitefield,Not in society,3250.0,5,0,290.0,0
Super built-up  Area,Not Ready To Move,Whitefield,In society,1216.0,2,1,66.48,3
Super built-up  Area,Ready To Move,Thirumenahalli,Not in society,1100.0,2,1,39.5,0
Super built-up  Area,Ready To Move,Thanisandra,In society,1743.0,3,2,93.25,0
Super built-up  Area,Ready To Move,Yelahanka,In society,1274.0,2,2,48.42,0
Super built-up  Area,Ready To Move,Lavelle Road,Not in society,2500.0,3,2,425.0,0
Super built-up  Area,Ready To Move,Mysore Road,In society,1512.0,2,2,110.0,0
Super built-up  Area,Ready To Move,Dollars Colony,Not in society,3100.0,5,1,385.0,0
Super built-up  Area,Ready To Move,Cox Town,Not in society,1650.0,3,3,100.0,0
Built-up  Area,Ready To Move,Doddathoguru,In society,1875.0,3,1,55.0,0
Built-up  Area,Ready To Move,Whitefield,Not in society,1350.0,3,2,54.0,0
Super built-up  Area,Ready To Move,Rajiv Gandhi Nagar,Not in society,1219.0,2,2,40.0,0
Plot  Area,Ready To Move,Goraguntepalya,Not in society,1200.0,4,1,150.0,0
Plot  Area,Ready To Move,Sarjapura - Attibele Road,Not in society,2400.0,3,3,85.0,0
Super built-up  Area,Ready To Move,Hormavu,Not in society,1141.0,2,1,44.4,0
Super built-up  Area,Ready To Move,Anandapura,In society,1151.0,2,1,43.1,0
Plot  Area,Ready To Move,Bommenahalli,In society,832.0,3,1,77.0,0
Super built-up  Area,Ready To Move,Sarjapur  Road,In society,915.0,2,1,38.0,0
Plot  Area,Ready To Move,Rajankunte,Not in society,3259.0,3,0,270.0,0
Super built-up  Area,Not Ready To Move,Bannerghatta Road,In society,1115.0,2,1,65.12,12
Super built-up  Area,Ready To Move,Thigalarapalya,In society,2072.0,4,2,139.0,0
Super built-up  Area,Ready To Move,Kaggadasapura,In society,1200.0,2,2,53.0,0
Super built-up  Area,Ready To Move,Singasandra,In society,1300.0,2,2,65.0,0
Super built-up  Area,Ready To Move,Bellandur,In society,1457.0,2,2,85.0,0
Super built-up  Area,Ready To Move,Kannamangala,In society,1262.0,2,2,55.0,0
Plot  Area,Ready To Move,BEML Layout,Not in society,1196.0,3,1,150.0,0
Super built-up  Area,Not Ready To Move,Ananth Nagar,Not in society,900.0,2,2,22.5,8
Built-up  Area,Ready To Move,Attibele,In society,420.0,1,1,17.0,0
Super built-up  Area,Ready To Move,Kanakapura,Not in society,1160.0,2,1,46.39,0
Super built-up  Area,Ready To Move,Kasavanhalli,Not in society,1115.0,2,2,50.0,0
Built-up  Area,Ready To Move,JP Nagar,Not in society,1315.0,2,1,85.4,0
Built-up  Area,Ready To Move,Babusapalaya,Not in society,1500.0,2,2,57.0,0
Super built-up  Area,Ready To Move,HSR Layout,In society,1127.0,2,1,68.0,0
Super built-up  Area,Not Ready To Move,Kundalahalli,In society,1397.0,3,2,104.0,2
Built-up  Area,Not Ready To Move,Whitefield,Not in society,1173.0,2,1,60.0,12
Super built-up  Area,Ready To Move,Sompura,Not in society,1090.0,2,2,28.0,0
Super built-up  Area,Ready To Move,Sarjapur  Road,In society,2720.0,5,2,210.0,0
Super built-up  Area,Not Ready To Move,Jakkur,In society,1230.0,2,1,76.0,5
Super built-up  Area,Ready To Move,6th Block Rajaji Nagar,Not in society,3200.0,3,3,190.0,0
Super built-up  Area,Not Ready To Move,Sarjapur  Road,In society,858.0,2,1,31.57,12
Super built-up  Area,Not Ready To Move,Talaghattapura,In society,1868.0,3,1,121.0,3
Super built-up  Area,Ready To Move,Uttarahalli,In society,858.5,3,2,91.2,0
Built-up  Area,Ready To Move,Vishwapriya Layout,Not in society,600.0,3,2,73.0,0
Super built-up  Area,Ready To Move,Banashankari,Not in society,1425.0,3,3,49.88,0
Plot  Area,Ready To Move,Subramanyapura,Not in society,1200.0,6,2,170.0,0
Plot  Area,Ready To Move,Tindlu,Not in society,1350.0,2,1,100.0,0
Built-up  Area,Ready To Move,Channasandra,Not in society,4200.0,6,0,180.0,0
Super built-up  Area,Ready To Move,Uttarahalli,In society,1310.0,2,1,85.0,0
Super built-up  Area,Not Ready To Move,Haralur Road,In society,3185.0,2,2,175.0,6
Super built-up  Area,Ready To Move,MLA Layout,Not in society,970.0,2,1,40.0,0
Super built-up  Area,Not Ready To Move,Kundalahalli,In society,1397.0,3,3,108.0,5
Super built-up  Area,Not Ready To Move,Sarjapur,In society,1157.0,2,1,40.0,7
Super built-up  Area,Ready To Move,Kasavanhalli,Not in society,1125.0,2,1,61.2,0
Super built-up  Area,Ready To Move,Sonnenahalli,In society,1157.0,2,1,42.0,0
Super built-up  Area,Ready To Move,Sarjapur  Road,In society,1241.0,2,1,82.0,0
Super built-up  Area,Not Ready To Move,Binny Pete,In society,660.0,1,1,62.0,12
Built-up  Area,Ready To Move,Marathahalli,In society,4000.0,4,3,220.0,0
Super built-up  Area,Ready To Move,Rajiv Nagar,In society,2340.0,4,1,148.0,0
Built-up  Area,Ready To Move,Venkatadri Layout,In society,596.0,1,1,42.0,0
Super built-up  Area,Ready To Move,Koramangala Industrial Layout,Not in society,10000.0,16,2,550.0,0
Plot  Area,Ready To Move,Kyalasanahalli,In society,1200.0,4,3,110.0,0
Super built-up  Area,Ready To Move,Ambedkar Colony,In society,1910.0,3,1,190.0,0
Super built-up  Area,Ready To Move,Brookefield,In society,1139.0,2,2,80.0,0
Super built-up  Area,Ready To Move,Thigalarapalya,In society,3122.0,5,2,225.0,0
Super built-up  Area,Not Ready To Move,Sarjapura - Attibele Road,Not in society,1033.0,2,2,28.41,8
Super built-up  Area,Ready To Move,Yeshwanthpur,In society,1168.0,2,2,64.08,0
Super built-up  Area,Ready To Move,Chandapura,Not in society,877.0,2,3,42.0,0
Built-up  Area,Not Ready To Move,Electronics City Phase 1,In society,1340.0,2,2,75.0,7
Built-up  Area,Ready To Move,B Narayanapura,In society,1405.0,2,2,70.0,0
Super built-up  Area,Ready To Move,Siddapura,Not in society,1800.0,3,3,65.0,0
Built-up  Area,Ready To Move, Devarabeesana Halli,In society,1750.0,3,3,149.0,0
Super built-up  Area,Ready To Move,Motappa Layout,In society,1360.0,2,1,65.0,0
Plot  Area,Ready To Move,Malleshwaram,Not in society,675.0,2,0,148.0,0
Super built-up  Area,Not Ready To Move,Byrasandra,In society,985.0,2,1,63.0,6
Super built-up  Area,Not Ready To Move,Victoria Layout,Not in society,1300.0,2,1,129.0,7
Super built-up  Area,Ready To Move,7th Phase JP Nagar,In society,1850.0,3,2,150.0,0
Super built-up  Area,Ready To Move,Rustam Bagh Layout,In society,1490.0,2,3,88.0,0
Super built-up  Area,Ready To Move,Byagadadhenahalli,In society,620.0,1,1,25.0,0
Super built-up  Area,Not Ready To Move,Hormavu,Not in society,1130.0,2,1,42.3,8
Super built-up  Area,Ready To Move,Yelachenahalli,In society,1080.0,2,2,55.0,0
Built-up  Area,Ready To Move,Singasandra,Not in society,3126.0,4,2,120.0,0
Super built-up  Area,Ready To Move,Begur Road,In society,1410.0,2,3,52.17,0
Super built-up  Area,Ready To Move,Bommanahalli,Not in society,1375.0,3,2,59.0,0
Super built-up  Area,Ready To Move,Hennur Road,In society,1290.0,2,1,94.5,0
Super built-up  Area,Not Ready To Move,Hosa Road,In society,1318.0,2,1,85.28,3
Super built-up  Area,Ready To Move,Electronic City,In society,1128.0,2,1,68.0,0
Plot  Area,Ready To Move,Meenakunte,In society,4428.0,4,2,255.0,0
Super built-up  Area,Not Ready To Move,Kanakpura Road,In society,1051.0,2,2,56.74,3
Plot  Area,Ready To Move,Kengeri,Not in society,3500.0,5,0,275.0,0
Plot  Area,Ready To Move,Kannamangala,In society,2400.0,4,1,130.0,0
Super built-up  Area,Ready To Move,Yelahanka,In society,1327.0,2,3,85.0,0
Super built-up  Area,Ready To Move,Thigalarapalya,In society,2912.0,6,2,210.0,0
Super built-up  Area,Ready To Move,Basapura,In society,1301.0,2,2,55.0,0
Super built-up  Area,Ready To Move,Thippasandra,Not in society,650.0,1,0,30.0,0
Plot  Area,Not Ready To Move,Varthur,Not in society,1200.0,3,1,67.75,7
Super built-up  Area,Ready To Move,Banagiri Nagar,Not in society,1500.0,2,2,89.99,0
Plot  Area,Ready To Move,Kumara Park,Not in society,2700.0,6,2,675.0,0
Plot  Area,Ready To Move,Nagadevanahalli,Not in society,1350.0,4,2,145.0,0
Built-up  Area,Not Ready To Move,Electronic City Phase II,In society,1000.0,2,1,28.88,8
Super built-up  Area,Not Ready To Move,Sarjapur  Road,In society,984.0,2,1,45.91,11
Super built-up  Area,Not Ready To Move,Jakkur,In society,918.5,3,1,160.0,5
Built-up  Area,Ready To Move,Nagarbhavi,Not in society,900.0,1,0,175.0,0
Super built-up  Area,Not Ready To Move,Hebbal,In society,1355.0,3,1,83.87,4
Super built-up  Area,Ready To Move,Sarakki Nagar,In society,2145.0,4,1,270.0,0
Super built-up  Area,Ready To Move,Malleshwaram,In society,2475.0,4,3,300.0,0
Super built-up  Area,Not Ready To Move,Kaggadasapura,Not in society,1118.0,2,0,30.0,8
Super built-up  Area,Ready To Move,Roopena Agrahara,Not in society,910.0,1,1,42.0,0
Super built-up  Area,Not Ready To Move,Madiwala,Not in society,1250.0,3,2,39.0,5
Super built-up  Area,Not Ready To Move,Hosakerehalli,In society,1304.0,2,3,100.0,3
Super built-up  Area,Ready To Move,Begur Road,In society,1615.0,3,2,58.0,0
Super built-up  Area,Ready To Move,Sarjapur  Road,In society,1400.0,2,2,68.0,0
Super built-up  Area,Ready To Move,CV Raman Nagar,In society,1070.0,2,2,47.5,0
Super built-up  Area,Not Ready To Move,Hebbal,In society,3500.0,3,3,395.0,11
Super built-up  Area,Not Ready To Move,Hoodi,In society,1132.0,2,1,89.37,6
Super built-up  Area,Ready To Move,Rajarajeshwari Nagara,Not in society,2000.0,3,2,85.0,0
Plot  Area,Ready To Move,Hebbal,Not in society,2400.0,5,1,550.0,0
Super built-up  Area,Ready To Move,Sector 2 HSR Layout,In society,794.0,1,2,65.0,0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,In society,1090.0,2,2,43.59,0
Super built-up  Area,Ready To Move,Gottigere,In society,1500.0,3,2,70.0,0
Super built-up  Area,Ready To Move,1st Phase JP Nagar,In society,2059.0,3,2,225.0,0
Super built-up  Area,Not Ready To Move,Bhoganhalli,In society,1447.0,2,1,75.97,5
Super built-up  Area,Not Ready To Move,Whitefield,In society,1269.0,2,1,75.0,12
Plot  Area,Not Ready To Move,KR Layout,Not in society,4800.0,4,0,700.0,4
Super built-up  Area,Ready To Move,Kanakpura Road,In society,1070.0,2,2,37.45,0
Super built-up  Area,Ready To Move,Talaghattapura,Not in society,1150.0,2,0,28.0,0
Super built-up  Area,Ready To Move,Marathahalli,Not in society,1208.0,2,2,70.0,0
Super built-up  Area,Ready To Move,Ramamurthy Nagar,In society,1185.0,2,1,45.5,0
Plot  Area,Ready To Move,Laggere,Not in society,1200.0,3,1,130.0,0
Super built-up  Area,Ready To Move,Anekal,Not in society,888.0,2,1,34.0,0
Super built-up  Area,Not Ready To Move,Chandapura,In society,1015.0,2,2,25.88,8
Built-up  Area,Ready To Move,Celebrity Paradise Layout,Not in society,532.0,1,1,22.49,0
Super built-up  Area,Ready To Move,St Thomas Town,Not in society,1060.0,3,1,62.0,0
Built-up  Area,Ready To Move,Electronic City,Not in society,700.0,1,1,35.0,0
Super built-up  Area,Ready To Move,Ckikkakammana Halli,In society,902.0,2,2,42.0,0
Plot  Area,Ready To Move,Banashankari 2nd Stage,Not in society,600.0,3,3,95.0,0
Super built-up  Area,Not Ready To Move,Binny Pete,In society,1365.0,2,1,122.0,12
Super built-up  Area,Ready To Move,Doddathoguru,In society,984.0,2,1,51.0,0
Plot  Area,Ready To Move,Hebbal,Not in society,2700.0,2,2,100.0,0
Super built-up  Area,Ready To Move,Jalahalli East,Not in society,1475.0,3,2,96.0,0
Super built-up  Area,Ready To Move,Haralur Road,In society,1300.0,2,2,79.0,0
Plot  Area,Ready To Move,5th Block Hbr Layout,Not in society,1200.0,6,1,220.0,0
Built-up  Area,Ready To Move,Babusapalaya,Not in society,1453.0,2,2,43.59,0
Super built-up  Area,Ready To Move,Munivenkatppa Layout,In society,1550.0,2,3,160.0,0
Built-up  Area,Ready To Move,Akshaya Nagar,In society,1666.0,3,2,95.0,0
Plot  Area,Ready To Move,Akshaya Nagar,Not in society,1410.0,4,2,160.0,0
Plot  Area,Not Ready To Move,Yelahanka,In society,4025.0,5,3,800.0,3
Super built-up  Area,Ready To Move,Murugeshpalya,In society,1845.0,3,3,91.0,0
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,In society,1676.0,3,3,52.0,0
Super built-up  Area,Not Ready To Move,Uttarahalli,In society,1137.0,2,1,63.0,12
